Ms. 135,Épisode de la guerre de 30 ans : [pièce pour marionnettes],XIXe – XXe siècle,1801/2000,français|fre,papier,manuscrit$dactylographie,15 feuillets,230 x 180 mm,Cahier unique cousu,Relève de l’ensemble « Papiers Théâtre Louis Richard ». La pièce pour marionnettes : «Épisodes de la Guerre de 30 ans » est suivi de la pièce « Les Mousquetaires gris ».  ,Don de Paul Delannay dit Robert Henry. Inscrit dans le registre des entrées sous le numéro d’inventaire 134 519,,,,Théâtre Louis Richard,,,,,,,,
Ms. 136,Le Courrier secret : [pièce pour marionnettes],XIXe – XXe siècle,1801/2000,français|fre,papier,manuscrit$dactylographie,16 feuillets,230 x 180 mm,Cahier unique cousu,Relève de l’ensemble « Papiers Théâtre Louis Richard ».,Don de Paul Delannay dit Robert Henry. Inscrit dans le registre des entrées sous le numéro d’inventaire 134 529,,,,Théâtre Louis Richard,,,,,,,,
Ms. 137,A la Rochelle : [pièce pour marionnettes],XIXe – XXe siècle,1801/2000,français|fre,papier,manuscrit$dactylographie,9 feuillets,200 x 220 mm,Cahier unique cousu,Relève de l’ensemble « Papiers Théâtre Louis Richard ».,Don de Paul Delannay dit Robert Henry. Inscrit dans le registre des entrées sous le numéro d’inventaire 134 528,,,,Théâtre Louis Richard,,,,,,,,
Ms. 138,"Un Drame Local, 1582 : [pièce pour marionnettes]",XIXe – XXe siècle,1801/2000,français|fre,papier,manuscrit$dactylographie,50 feuillets,220 x 180 mm,Cahier unique cousu,Relève de l’ensemble « Papiers Théâtre Louis Richard ».,Don de Paul Delannay dit Robert Henry. Inscrit dans le registre des entrées sous le numéro d’inventaire 137 706,,,,Théâtre Louis Richard,,,,,,,,
Ms. 139,Les Deux Chemins : pièce patriotique en deux actes [pour marionnettes],XIXe – XXe siècle,1801/2000,français|fre,papier,manuscrit$dactylographie,35 feuillets,290 x 230 mm,Cahier unique cousu,Relève de l’ensemble « Papiers Théâtre Louis Richard ».,Don de Paul Delannay dit Robert Henry. Inscrit dans le registre des entrées sous le numéro d’inventaire 134 523,,,,Théâtre Louis Richard,,,,,,,,
Ms. 140,Henri IV : [notes],XIXe – XXe siècle,1801/2000,français|fre,papier,manuscrit$dactylographie,8 feuillets,260 x 170 mm,Cahier unique cousu,Relève de l’ensemble « Papiers Théâtre Louis Richard ». Contient des notes sur l’histoire de la France aux 16e et 17e siècles.  ,Don de Paul Delannay dit Robert Henry. Inscrit dans le registre des entrées sous le numéro d’inventaire 134 531,,,,Théâtre Louis Richard,,,,,,,,
Ms. 141,Fabrication et tissage,1930-1932,1930/1932,français|fre,papier,manuscrit,118 feuillets (48-118 blancs),390 x 290 mm,Registre cousu. Reliure pleine conçue par l’Atelier de reliure de la Médiathèque de Roubaix,"Cours de Monsieur Devriendt recueillis par R. Vande Meirssche. Contient : Tissage (fol. 1-4) ; Fabrication 1ère année, 1930-1931 (fol. 5-29v) ; Fabrication 2ème année, 1931-1932 (fol. 30-47v). Nombreux schémas, certains en couleur. Sur la page de titre, une note manuscrite de la main de Jacques Prouvost indique son adresse : 21/51 rue de Gambetta à Croix, ainsi que l’annotation suivante : « Entré vers 1931 à la Lainière de Roubaix avec M. de Vande Meirssche. M. Jacques Prouvost fut le collègue de M. Vande Meirssche à la Lainière de Roubaix. ",Don de Jacques Prouvost. Inscrit dans le registre des entrées sous le numéro d’inventaire 136 256 ,http://www.bn-r.fr/fr/notice.php?id=Ms_141,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"R. Vande Meirssche|Vande Meirssche, R.",,,,,,,,,
Ms. 142,Insertion de Radio Boomerang dans le milieu local et dans la métropole,Vers 1985-1986,1985/1986,français|fre,papier,dactylographie,10 feuillets,300 x 210 mm,Reliure,"Concerne le fonctionnement de Radio Boomerang, Roubaix, en 1984 et 1985. ",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 133 258,,,,,,,,,,,,
Ms. 143,"Activités des élèves du Lycée Technique d’État Textile et Arts Appliqués, Roubaix. Sinistrose",1980,1980,français|fre,papier,manuscrit$dactylographie$imprimé,24 feuillets,310 x 220 mm,Reliure,"Activités des élèves du Lycée Technique d’État Textile et Arts Appliqués, Roubaix. Original du numéro 2 du journal des lycéens. Contient aussi des illustrations non parues dans le journal (fol. 23-24). ",Don de Christian Petit. Inscrit dans le registre des entrées sous le numéro d’inventaire 129 600,,,,Lycée Technique d’État Textile et Arts Appliqués de Roubaix,,,,,,,,
Ms. 144,Comité d’Élèves du Lycée Technique d’Arts Appliqués et Textile de Roubaix,1979-1983,1979/1983,français|fre,papier,manuscrit$dactylographie$imprimé,82 feuillets,310 x 220 mm,Reliure,"Contient aussi des documents concernant les Conseils d’Établissement en 1981-1982, la création d’un foyer socio-éducatif en 1982, et quelques documents concernant la période 1979-1983. ",Don de Christian Petit. Inscrit dans le registre des entrées sous le numéro d’inventaire 129 601,,,,Lycée Technique d’État Textile et Arts Appliqués de Roubaix,,,,,,,,
Ms. 145,Comité d’Élèves du Lycée Technique d’Arts Appliqués et Textile de Roubaix,1982-1983,1982/1983,français|fre,papier,manuscrit$dactylographie$imprimé,52 feuillets,310 x 220 mm,Reliure,Contient aussi des documents concernant la création de l’association Aqueduc,Don de Christian Petit. Inscrit dans le registre des entrées sous le numéro d’inventaire 129 602,,,,Lycée Technique d’État Textile et Arts Appliqués de Roubaix,,,,,,,,
Ms. 146,Projet pour un nouvel établissement d’arts appliqués à Roubaix,1983,1983,français|fre,papier,manuscrit$dactylographie$imprimé,58 feuillets (15 dépliants),310 x 220 mm,Reliure,Comité d’Élèves du Lycée Technique d’Arts Appliqués et Textile de Roubaix. Contient aussi une revue de presse sur le lycée de 1979 à 1983. ,Don de Christian Petit. Inscrit dans le registre des entrées sous le numéro d’inventaire 129 603,,,,Lycée Technique d’État Textile et Arts Appliqués de Roubaix,,,,,,,,
Ms. 147,"Le jeu, le livre, les enfants",1988,1988,français|fre,papier,manuscrit,33 feuillets ,320 x 240 mm,Chemise cartonnée,Rapport d’un stage effectué à la Bibliothèque Municipale de Roubaix par une étudiante en animation socio-culturelle en janvier 1988. ,Don de Véronique Devroe. Inscrit dans le registre des entrées sous le numéro d’inventaire 141 765,,,"Véronique Devroe|Devroe, Véronique",,,,,,,,,
Ms. 148,"Lettres d’Alfred Motte à Joseph Gillet, 26 octobre 1870 - 27 avril 1887",26 octobre 1870-27 avril 1887,1870/1887,français|fre,papier,manuscrit,192 feuillets,280 x 240 mm,Reliure maroquin vert,"Contient aussi une lettre d’Albert Motte à Joseph Gillet datée du 11 mai 1887 (fol. 186-187), un télégramme des enfants d’Alfred Motte à Joseph Gillet, mai  1887 (fol. 188), des articles de presse parus lors du décès d’Alfred Motte (fol. 189-192). Cf. aussi Ms. 149. Cf. « Lettres d’Alfred Motte - Grimonprez », Paris, 1952, 3 vol. ",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 143 625,,,"Alfred Motte|Motte, Alfred",,,,,,,,,
Ms. 149,"Lettres d’Alfred Motte à Joseph Gillet, 26 octobre 1870 - 27 avril 1887",Vers 1950,1940-1960,français|fre,papier,dactylographie,262 feuillets,280 x 220 mm,Reliure,"Copie des lettres d’Alfred Motte conservées dans le manuscrit 148 de la Médiathèque de Roubaix, à l’exception des autres documents qui y figurent. Cf. « Lettres d’Alfred Motte - Grimonprez », Paris, 1952, 3 vol. ",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 143 630,,,"Alfred Motte|Motte, Alfred",,,,,,,,,
Ms. 150,"Lettres d’Alfred Motte à  sa famille, 1838-1849",1838-1849,1838/1849,français|fre,papier,manuscrit,136 feuillets,280 x 220 mm ,Reliure,"Contient aussi un bulletin scolaire, 1838 (fol. 3), des lettres de son frère Étienne (fol. 13, 44-45, 47), de sa mère Pauline Brédart (fol. 18-19, 22, 30-31, 40-43, 46, 48-51), de ses sœurs Adèle (fol. 14, 113) et Pauline (fol. 42, 47, 51), de son père Jean-Baptiste (fol. 19, 24, 47), et de son ami Achille Dewarlez (f.129-136). Cf. « Lettres d’Alfred Motte - Grimonprez », Paris, 1952, 3 vol. ",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 143 628,,,"Alfred Motte|Motte, Alfred",,,,,,,,,
Ms. 151,"Lettres d’Alfred Motte à  sa famille, 1843-1848",Vers 1950,1940-1960,français|fre,papier,dactylographie carbone,99 feuillets,280 x 220 mm,Reliure,"Contient aussi des lettres de son frère Étienne (fol. 3, 23-25), de sa mère Pauline Brédart (fol. 7, 12-14, 18-21, 23, 26, 28-30), de son père Jean-Baptiste (fol. 8, 26), de ses sœurs Pauline (fol. 21-22, 27) et Adèle (fol. 96) et de son ami Achille Dewarlez (fol. 98-99). Copies d’une partie des lettres conservées dans le manuscrit 150 de la Médiathèque de Roubaix. Cf. « Lettres d’Alfred Motte - Grimonprez », Paris, 1952, 3 vol.",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 143 629,,,"Alfred Motte|Motte, Alfred",,,,,,,,,
Ms. 152,"Succession Eugène Motte, 1929",1929,1929,français|fre,papier,manuscrit$dactylographie,4 feuillets,280 x 220 mm,Reliure,"Contient une lettre d’Eugène Motte-Vanoutryve datée du 3 avril 1929 (fol. 1), une copie du testament d’Eugène Motte-Duthoit, 1929 (fol. 2), une lettre d’Eugène Motte-Duthoit à ses enfants datée du 2 mars 1929 (fol. 3), une copie de la lettre précédente de la main d’Eugène Motte-Vanoutryve (fol. 4). Communication réservée jusqu’en 2029.  ",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 143 629,,,"Eugène Motte Duthoit|Duthoit Motte, Eugène$Eugène Motte Vanoutryve|Vanoutryve, Motte Eugène",,,,,,,,,
Ms. 153,Petit historique de la Bibliothèque Municipale de Roubaix,1987-1988,1987/1988,français|fre,papier,dactylographie,2 feuillets – 31 feuillets (12 bis – 43),300 x 220 mm,Reliure,"Dactylographie avec annotations manuscrites. Copie partielle d’un rapport rédigé vers 1950 par M. Tétaert, bibliothécaire de la Ville de Roubaix, dont l’original est égaré. Contient une présentation rédigée en 1988 par Bernard Grelle, directeur de la Bibliothèque (fol. 2). ",Document issu vraisemblablement des services administratifs de la Bibliothèque de Roubaix. Inscrit dans le registre des entrées sous le numéro d’inventaire 143 535,,,"Gabriel Tétaert|Tétaert, Gabriel",,,,,,,,,
Ms. 154,Rapport général de cessation de fonctions,1961,1961,français|fre,papier,dactylographie,25 feuillets,280 x 220 mm,Reliure,"Rapport adressé à M. le Maire de Roubaix par Gabriel Tétaert, archiviste bibliothécaire municipal. ",Document issu vraisemblablement des services administratifs de la Bibliothèque de Roubaix. Inscrit dans le registre des entrées sous le numéro d’inventaire 147 228,,,"Gabriel Tétaert|Tétaert, Gabriel",,,,,,,,,
Ms. 155,"Centre culturel du Forum, Discothèque, Roubaix. Rapport de stage C.A.F.B, avril-mai 1988",avril 1988-mai 1988,1988,français|fre,papier,manuscrit,3 feuillets,310 x 220 mm,Reliure,Rapport d’un stage effectué à la Bibliothèque Municipale de Roubaix au service Discothèque d’avril à mai 1988 par un étudiant préparant le Certificat d’Aptitude aux Fonctions de Bibliothécaire. ,Don de François Giard. Inscrit dans le registre des entrées sous le numéro d’inventaire 155 785,,,"François Giard|Giard, François",,,,,,,,,
Ms. 156,Rapport de stage. Service Patrimoine,1990,1990,français|fre,papier,dactylographie,9 feuillets,310 x 220 mm,Reliure,"Rapport d’un stage effectué à la Bibliothèque Municipale de Roubaix au service Conservation du Patrimoine en 1990 par une étudiante préparant le Certificat d’Aptitude aux Fonctions de Bibliothécaire, spécialisation Patrimoine. ",Don de Nathalie Bycz. Inscrit dans le registre des entrées sous le numéro d’inventaire 160 342,,,"Nathalie Bycz|Bycz, Nathalie",,,,,,,,,
Ms. 157,Résultats de l’enquête proposée au Festival de la Création le 14 mars 1987 à Roubaix,14 mars 1987,1987-03-14,français|fre,papier,dactylographie,8 feuillets,310 x 220 mm,Reliure,Enquête effectuée auprès des participants et du public du premier Festival de la Poésie de Roubaix. ,Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 144 614,,,"Viviane Simon|Simon, Viviane",,,,,,,,,
Ms. 158,Journal 1914-1918 - du 23 juillet au 31 décembre 1914,23 juillet 1914-31 décembre 1914,1914,français|fre,papier,manuscrit$dactylographie ,15 p. - 73 feuillets,340 x 140 mm,Reliure toile,"Journal de guerre 1914-1918 de Paul Spriet (?), habitant 406 rue de Lannoy à Roubaix ou d’un autre roubaisien apparenté à la famille Pureur. Contient de nombreuses notes et coupures de presse concernant les affiches et avis à la population. ",Achat auprès de M. Hamy de Wasquehal le 11 février 1991. Inscrit dans le registre des entrées sous le numéro d’inventaire 169 054,,,"Paul Spriet|Spriet, Paul",,,,,,,,,
Ms. 159,Journal 1914-1918 - 1915,1915,1915,français|fre,papier,manuscrit$dactylographie,13 p. - 76 feuillets,340 x 140 mm,Reliure toile,"Journal de guerre 1914-1918 de Paul Spriet (?), habitant 406 rue de Lannoy à Roubaix ou d’un autre roubaisien apparenté à la famille Pureur. Contient de nombreuses notes et coupures de presse concernant les affiches et avis à la population.",Achat auprès de M. Hamy de Wasquehal le 11 février 1991. Inscrit dans le registre des entrées sous le numéro d’inventaire 169 055,,,"Paul Spriet|Spriet, Paul",,,,,,,,,
Ms. 160,Journal 1914-1918 - 1916,1916,1916,français|fre,papier,manuscrit$dactylographie,15 p. - 73 feuillets,340 x 140 mm,Reliure toile,"Journal de guerre 1914-1918 de Paul Spriet (?), habitant 406 rue de Lannoy à Roubaix ou d’un autre roubaisien apparenté à la famille Pureur. Contient de nombreuses notes et coupures de presse concernant les affiches et avis à la population.",Achat auprès de M. Hamy de Wasquehal le 11 février 1991. Inscrit dans le registre des entrées sous le numéro d’inventaire 169 056,,,"Paul Spriet|Spriet, Paul",,,,,,,,,
Ms. 161,Journal 1914-1918 - 1917,1917,1917,français|fre,papier,manuscrit$dactylographie,22 p. - 108 feuillets,340 x 140 mm,Reliure toile,"Journal de guerre 1914-1918 de Paul Spriet (?), habitant 406 rue de Lannoy à Roubaix ou d’un autre roubaisien apparenté à la famille Pureur. Contient de nombreuses notes et coupures de presse concernant les affiches et avis à la population.",Achat auprès de M. Hamy de Wasquehal le 11 février 1991. Inscrit dans le registre des entrées sous le numéro d’inventaire 169 057,,,"Paul Spriet|Spriet, Paul",,,,,,,,,
Ms. 162,Journal 1914-1918 - du 1er janvier au 30 octobre 1918,1 janvier 1918-30 octobre 1918,1918,français|fre,papier,manuscrit$dactylographie ,107 feuillets,340 x 140 mm,Reliure toile,"Journal de guerre 1914-1918 de Paul Spriet (?), habitant 406 rue de Lannoy à Roubaix ou d’un autre roubaisien apparenté à la famille Pureur. Contient de nombreuses notes et coupures de presse concernant les affiches et avis à la population.",Achat auprès de M. Hamy de Wasquehal le 11 février 1991. Inscrit dans le registre des entrées sous le numéro d’inventaire 169 058,,,"Paul Spriet|Spriet, Paul",,,,,,,,,
Ms. 163,Le sonneur de Saint-Eustache,Fin XIXe siècle,1875/1900,français|fre,papier,manuscrit,599 p. - 301 feuillets,280 x 190 mm,Demi-reliure maroquin rouge,Roman. Manuscrit ne comportant aucune indication sur l’auteur inconnu de ce roman. Comprenant une table des chapitres (fol. 301).,Achat. Inscrit dans le registre des entrées sous le numéro d’inventaire 161 791,,,,,,,,,,,,
Ms. 164,Livre des biens de M. de la Potennerie,1759-1781,1759/1781,français|fre,papier,manuscrit,4 p. - 88 feuillets,340 x 220 mm,Reliure parchemin,"En page 1 : Tables des parties des biens. Au fol. 1, on lit : « Le fief est seigneurerie viscomtière de la Potennerie... ». Fol. 3-11v : Terres faisant partie de la Potennerie occupées par J.-B. Prevos (fol. 3), J. Spriet (fol. 6), J. Crombez, meunier (fol. 9). Fol. 12-14v : Le Cabaret de la Reverderie, occupé par F. Goube. Fol. 15-16v : La ferme du Vernez à Carvin Epinoy, occupée par P.-J. Boez. Fol. 18-23 : Le fief des Grands Sarts, à Sainghin en Mélantois, occupé par E. Desmarecaux-Vincre (fol. 18) et J.-J. Delattre (fol. 21). Fol. 24-34 : Terres faisant partie du fief d’Ennequin à Loos, gérées par le notaire Duriez (fol.27), occupées par P. Vas (fol. 29), L. Fine et E. Courouble (fol. 32). Fol. 35 : Terre au village de Violaine occupée par P. Bottrée. Fol. 36-38 : Manquants, terres de de Belleghem près de Courtray. Fol. 40-45 : Une maison et sa cave sur la Grand Place de Lille, occupées par Henry, libraire (fol. 40), et un cabaret à l’enseigne d’Haubourdin (fol.43). Fol. 46 : Un terrain rue des Jésuites à Lille, loué à F. Therache, maçon. Fol. 48-53 : Rentes héritières et viagères. Fol. 54 : Terres près de la Potennerie, louées à J. Loridan. Fol. 55v-58 : Contrats de rente. Contient les comptes de 1759 à 1781. Contenait des documents isolés réunis sous la cote Ms. 165. (Voir Catalogue de vente, « Livres anciens et modernes », Roubaix, Hôtel des Ventes, 18 juin 1989, n° 126.)",Achat à l’Hôtel des ventes de Roubaix le 18 juin 1989. Inscrit dans le registre des entrées sous le numéro d’inventaire 150 803,,,"Jacques Petipas|Petipas, Jacques",,,,,,,,,
Ms. 165,"Papiers Jacques Petipas, seigneur de la Potennerie",1774-1780,1774/17780,français|fre,papier,manuscrit,88 feuillets,dimensions diverses,"Feuillets volants, étui dimensions 340 x 200 mm","Pièces comptables et notes diverses concernant les biens de M. de la Potennerie provenant du Ms. 164. Factures de M. Colain, maçon et reçus divers concernant la ferme du Vernca (fol. 1-6). Pièces concernant le fief des grands Sarts (f. 7-18) : reçus pour les vingtièmes, 1774 à 1778 (fol. 7-12), notes (fol. 13-14), décompte et reçus du notaire Duriez pour les rendages, 1779-1780 (fol. 15-18). Copie des baux pour le cabaret à l’enseigne du Pont d’Haubourdin à Lille (fol. 19-22). Pièces concernant la veuve Therache (fol. 23-30) : factures pour travaux effectués (fol. 23-25, 27), décomptes et liquidation pour le loyer de la maison ru des Jésuites (fol. 26, 28-29). Note concernant une rente de l’entremise de M. Jumbert (fol. 31). Dette du notaire Duriez aux échevins de Lille sur une créance de la veuve Boure à la veuve Renty (fol. 32-33). La dernière pièce (fol. 32-33) ne semble pas concerner la seigneurerie de la Potennerie mais le notaire Duriez.",Achat à l’Hôtel des ventes de Roubaix le 18 juin 1989. Inscrit dans le registre des entrées sous le numéro d’inventaire 150 803,,,"Jacques Petipas|Petipas, Jacques",,,,,,,,,
Ms. 166,"Le mouvement littéraire régionaliste, 1900-1945",1988,1988,français|fre,papier,dactylographie,25 feuillets,280 x 210 mm,Reliure,"État provisoire d’un article pour le Centre d’Ethnologie Française, laboratoire associé du Centre National de la Recherche Scientifique. Contient une lettre de l’auteur (fol. 25). ",Don de l’auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 151 965,,,"Anne-Marie Thiesse|Thiesse, Anne-Marie",,,,,,,,,
Ms. 167,Les Marionnettes de chez nous,1957,1957,français|fre,papier,manuscrit,36 feuillets,270 x 210 mm,Reliure,"Contient « Les Marionnettes de chez nous » (fol. 1-17) ; « Le Théâtre Louis » (fol. 18-33) ; le poème « L’Théat d’un sou » (fol. 34-36). Texte d’une conférence de Charles Bodart-Timal en 1957. Un résumé de cette causerie est paru dans « Les Amis de Roubaix », n°10, 1957. ",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 159 127,,,"Charles Bodart-Timal|Bodart-Timal, Charles",,,,,,,,,
Ms. 168,Articles traduits du néerlandais,1986,1986,français|fre,papier,manuscrit,5 feuillets,280 x 210 mm,Reliure toile,"Ensemble comprenant les traductions françaises inédites d’articles parus dans la presse néerlandophone. Contient « L’enfer du Nord », traduit de « De Hel van het Noordern », paru dans Intermediair, 6 juin 1986, pp. 5-9. (fol. 1-4) ; « Roubaix recherche ses trésors », traduit de « Roubaix zoekt naar zijn schatten » de Joost De Geest, paru dans De Standaart, 7 août 1986, article sur le Musée de Roubaix (fol. 5-5v).",Provenance inconnue,,,,,,,,,,,,
Ms. 169,Dossier Louis Foelix,1889-1933,1889/1933,français|fre,papier,manuscrit,34 feuillets,430 x 300 mm,Reliure,"Fol. 1-12. Chansons de Louis Foelix : « L’Temps passé » (mi-carême 1896) chantée par la Société des Amis Réunis, établie chez le Sieur Henri Nollet, A la petite hirondelle, boulevard de Beaurepaire, Roubaix (fol. 1) ; « Gloire à Nadaud » (1906) (fol. 2-3v) ; incipit : « Les jours de gloire et de combat... » (1907) (fol. 4), « Les Cours artistiques » et « Pourquoi l’on chante » (1917), dédiées à MM. Martinage, Bizard et Cornet, timbre C. Bodart-Timal (fol. 5-8v) ; « L’Otil » (fol. 9) ; incipit : « Approchez-vous gens de la ville... », chanson anonyme attribuée à Louis Foelix, mention concernant une Société organisée chez Petit, rue de Lannoy, Roubaix (fol. 10-11v) ; incipit : « Clairons sonnez, tambours ouvrez le bon... », refrain de Charles Barenne et Louis Foelix, mentions concernant l’impression (fol. 12-12v). Fol. 13-17. Chansons dédiées à Louis Foelix : « Protestations à Monsieur Louis Foelix » (1920) de Charles Barenne (fol. 13-14) ; « Fraternité » (1918) d’Adolphe Delannoy (fol. 15) ; « Chantecler au villache » et « T’n’as pus d’corache » de Gustave Olivier, estaminet du Maroc, rue de Renaix, Tourcoing, mention concernant l’impression (fol. 16-17). Fol. 18-31. Autres chansons : « La Baisse du franc » (1924) et « A vos souhaits », de Charles Barenne (fol. 18-19) ; « Ch’est l’amour » et « Tendresse », de Gustave Olivier, Olivier Lefebvre, rue de l’Épeule, cour Desrousseaux, n° 30, Roubaix (fol. 20-21v) ; « Le Centenaire de la grande Harmonie » (1920), « Henri Loridan » (1923), « Salut aux sports », d’Alfred Losfeld (fol. 22-27) ; « Les Berdouilleux » (1933) de Ch. Verstraete (f. 28) ; « La Noce des nez », anonyme avec parole et musique (fol. 29) ; « Les punaises », feuillet anonyme, chanson attribuée à Émile Desmettre, datée de 1889 d’une autre main (fol. 30) ; « L’cordionneux », anonyme, incipit : « Mi ze suis venu de Popcelu-u-te... » (fol. 31). Fol. 32-34. Papiers Louis Foelix : « Roubaix, le 1911 grand concours gastronomique organisé par Louis Foelix... », mention au crayon concernant l’impression (fol. 32) ; lettres à Louis Foelix de Charles Barenne contenant une chanson dédiée à Jules Watteeuw, dit le Broutteux, et de Napoléon Lefebvre (fol. 33-34). Cf. Ms. 36 et Ms. 39 pour les chansons de Barenne ; Ms. 37 pour les chansons de Losfeld ; L. Marty, « Chanter pour survivre »( (1982) pour la chanson de Desmettre. ",Dossier transmis par Charles Bodart-Timal et l’association des Amis de Roubaix. Inscrit dans le registre des entrées sous le numéro d’inventaire 159 128,,,"Louis Foelix|Foelix, Louis",,,,,,,,,
Ms. 170,Chronique des bibliothèques publiques de Guadeloupe de 1795 à 1967,1978-1983,1978/1983,français|fre,papier,manuscrit$dactylographie,85 feuillets,310 x 220 mm,"Demi-reliure à la Bradel toilée dos et bande, plats papiers marbrés, dorure sur étiquette dos","Mouture manuscrite et dactylographiée du texte « Chronique des bibliothèques publiques de Guadeloupe... » (fol. 1-62). Comprend ce texte à l’identique en version imprimée dans : Médiathèques publiques, n°70, avril-juin 1984, p. 31-52. - ISSN 0153-4270. (fol. 63-75) ; le texte imprimé « Les pratiques de lectures des jeunes guadeloupéens » par Jean-Claude Annezer. In : Médiathèques publiques, n°55, juillet-septembre 1980, p. 5-19. - ISSN 0153-4270. (fol. 76-85).",Don de Bernard Grelle,,,"Bernard Grelle|Grelle, Bernard$Jean-Claude Annezer|Annezer, Jean-Claude",,,,,,,,,
Ms. 171,Projet de restructuration du bus scolaire,1991,1991,français|fre,papier,manuscrit,26 feuillets,305 x 225 mm,Reliure toile,"Manuscrit rédigé par Anne-Sophie Delannoy comportant des corrections manuscrites de Joëlle Lacroix-Desmazes et de Bernard Grelle. Comprend un plan, une  introduction, une présentation de la situation actuelle, des réflexions sur les améliorations à apporter (fol. 1-8) ; projets liés à l’achat d’un nouveau bibliobus (fol. 9-15) ; projets liés à l’achat d’une camionnette (fol. 15-25) ; l’annexe 1 est relative aux statistiques (fol. 26). ",Don des auteurs,,,"Anne-Sophie Delannoy|Delannoy, Anne-Sophie$Joëlle Lacroix-Desmazes|Lacroix-Desmazes, Joëlle",,,,,,,,,
Ms. 172,"Cours de tissage, 1ère année",XXe siècle,1901/2000,français|fre,papier,manuscrit,20 feuillets,367 x 275 mm,"Cahier unique agrafé, couverture papier","Cours du professeur Mr Delommez, à l’École Nationale d’Arts Textiles, recueilli par l’élève [Albert] Debuisne. Contient quelques schémas en couleur et des échantillons de tissus collés.",Achat en 1994,,,"Delommez|Delommez$Albert Debuisne|Debuisne, Albert",,,,,,,,,
Ms. 173,"Cours de tissage, 1ère année",XXe siècle,1901/2000,français|fre,papier,manuscrit,19 feuillets,367 x 275 mm,"Cahier unique agrafé, couverture papier","Cours du professeur Mr Delommez, à l’École Nationale d’Arts Textiles, recueilli par l’élève [Albert] Debuisne. Ce cahier ne comporte pas de titre, il semble être la suite du précédent.  Contient : Tissus complexes (fol. 1v-8v) ; Tissus à deux trames superposées (fol. 9-19). Schémas en couleur.",Achat en 1994,,,"Delommez|Delommez$Albert Debuisne|Debuisne, Albert",,,,,,,,,
Ms. 174,Cours de fabrication. Tissage,XXe siècle,1901/2000,français|fre,papier,manuscrit,20 feuillets (13-20 blancs ; 19 déchiré dans la longueur ; 20 découpé dans la largeur),367 x 275 mm,"Cahier unique agrafé, couverture papier","Cours du professeur Mr Delommez, à l’École Nationale d’Arts Textiles, recueilli par l’élève [Albert] Debuisne. Contient : Cours de fabrication. Tissage (fol. 2-12v).  Schémas en couleur. ",Achat en 1994,,,"Delommez|Delommez$Albert Debuisne|Debuisne, Albert",,,,,,,,,
Ms. 175,Cours de tissage artistique,1932-1933,1932/1933,français|fre,papier,manuscrit,101 feuillets,309 x 270 mm,"Reliure cousue sur trois rubans, emboîtage avec gardes couleur charnière toilée, couvrure toile simili-cuir grenat, dorure à la main sur le plat",Cours recueilli par l’élève Gaspar Desurmont à l’Institut Technique roubaisien. Contient : Portrait au crayon de bois et indication du volume (p. 1) ; Section Tissage 1ère année. Cahier de tissage artistique. 1ère année (fol. 1) ; suivi de notes de cours (fol. 2-101) et de schémas et collages en couleur.,Provenance inconnue,,,"Gaspar Desurmont|Desurmont, Gaspar",,,,,,,,,
Ms. 176,La vie du curé d’Ars,1942,1942,français|fre,papier,manuscrit$imprimé,39 p. - 62 feuillets,315 x 200 mm,"Fausse reliure signée C. Lecocq Reliure Roubaix. Étui en peau mouton, enveloppe de percaline contenant le manuscrit montée sur dossier. Dorure à la main sur le plat supérieur. Deux dessins à la pointe d’argent sur plats supérieur et inférieur signés de André Missant, peintre à Roubaix","Ensemble comprenant l’épreuve d’imprimerie avec corrections manuscrites de l’auteur (39 p.), imprimé à l’imprimerie de Lagny, par Emmanuel Grévin et fils pour Albin Michel Éditeur ; contient aussi une lettre autographe (15 juillet 1942, destinataire non identifié) accompagnant le manuscrit et la fausse reliure le contenant, à l’occasion de sa vente au profit du Secours National (fol. 1) ; des corrections manuscrites non retenues pour le passage final p. 39 (fol. 2-3) ; une correction manuscrite retenue à insérer dans le passage final, dont l’indication est donnée par l’auteur sur la dernière page imprimée p. 39 (fol. 4). Fol. 5-51. Manuscrit de l’ouvrage écrit à Wasquehal à partir du 10 octobre 1941 (fol. 5), avec une foliotation par l’auteur de 1 à [46]. Fol. 52-62. Plan de l’ouvrage avec une foliotation par l’auteur de 1 à 11. ",Achat auprès de Pierre Dupont en octobre 1993,,,"Maxence Van der Meersch|Van der Meersch, Maxence",,,,,,,,,
